 745 1780  4.25793000 54.48930000 531.28273097 
 745 1781  4.39626000 54.48950000 8401.77111183 
 745 1784  4.81123000 54.48920000 0.01820000 
 745 1785  4.94955000 54.48870000 2352.23487066 
 745 1786  5.08787000 54.48810000 10.49305910 
 745 1789  5.50279000 54.48540000 3134.19520277 
 745 1790  5.64108000 54.48420000 2073.76425842 
 745 1792  5.91764000 54.48130000 51.34053718 
 745 1794  6.19415000 54.47770000 2080.18404360 
 745 1796  6.47061000 54.47350000 32592.51064453 
 745 1797  6.60882000 54.47120000 22120.15654661 
 745 1807  7.98983000 54.43920000 112.78090962 
 745 1834  1.30777000 54.51700000 2618.24193109 
 745 1835  1.44638000 54.52050000 1.87384507 
 745 1836  1.58502000 54.52400000 2062.51883904 
 745 1841  2.27853000 54.53870000 4869.35320623 
 745 1854  4.08334000 54.55840000 6514.48180100 
 745 1857  4.50000000 54.55910000 12277.55486221 
 745 1863  5.33329000 54.55620000 85556.23856270 
 745 1864  5.47215000 54.55520000 29145.26504017 
 745 1865  5.61101000 54.55400000 3133.95084000 
 745 1866  5.74986000 54.55260000 1544.87305872 
 745 1867  5.88870000 54.55110000 2.30400523 
 745 1869  6.16635000 54.54760000 2126.40776108 
 745 1872  6.58271000 54.54120000 0.00060000 
 745 1882  7.96938000 54.50930000 3485.70118601 
 745 1907  0.13063200 54.54970000 2921.71485534 
 745 1914  1.09987000 54.58080000 15410.56382204 
 745 1915  1.23845000 54.58470000 38491.50012245 
 745 1920  1.93169000 54.60140000 6641.79260200 
 745 1921  2.07041000 54.60420000 2253.81818864 
 745 1930  3.31955000 54.62290000 4716.07490160 
 745 1933  3.73614000 54.62620000 905.51844628 
 745 1934  3.87501000 54.62700000 116.90354093 
 745 1936  4.15278000 54.62810000 4727.66468330 
 745 1938  4.43056000 54.62860000 3507.87281777 
 745 1939  4.56944000 54.62860000 61.57031196 
 745 1940  4.70833000 54.62840000 363.33789125 
 745 1941  4.84722000 54.62810000 233.66346126 
 745 1952  6.37456000 54.61410000 364.02517649 
 745 1953  6.51334000 54.61190000 10193.55189323 
 745 1956  6.92959000 54.60420000 5001.69555613 
 745 1958  7.20700000 54.59830000 2545.15270988 
 745 1960  7.48432000 54.59180000 11507.20696765 
 745 1961  7.62295000 54.58830000 5804.42926716 
 745 1964  8.03868000 54.57690000 10521.23888802 
 745 1967  8.59260000 54.55940000 0.24502484 
 745 1997  1.19034000 54.65290000 59943.62798128 
 745 1999  1.46869000 54.66020000 2776.66050229 
 745 2000  1.60790000 54.66360000 53910.78549925 
 745 2005  2.30426000 54.67820000 285.92764608 
 745 2010  3.00106000 54.68890000 3701.48167618 
 745 2019  4.25595000 54.69790000 386.91068520 
 745 2027  5.37156000 54.69500000 31422.59808212 
